keys,ko,en
설     정,설     정,
손에 익은 장비,손에 익은 장비,
쇠붙이가 알아서 붙는다. 획득 범위가 넓어진다.,쇠붙이가 알아서 붙는다. 획득 범위가 넓어진다.,
수양록,수양록,
수통,수통,
숫돌,숫돌,
시계,시계,
신병,신병,
신병 수료,신병 수료,
신형 전투화,신형 전투화,
쓰러져도 한 번 일어난다,쓰러져도 한 번 일어난다,
쓰러져도 한 번 일어난다.,쓰러져도 한 번 일어난다.,
알아서 낫는다. 위생병으로 시작한다.,알아서 낫는다. 위생병으로 시작한다.,
앞뒤로 번갈아 휘두른다. 삽질은 원래 왕복이다.,앞뒤로 번갈아 휘두른다. 삽질은 원래 왕복이다.,
야전삽,야전삽,
야전삽 강화,야전삽 강화,
야전삽 숙련,야전삽 숙련,
연막탄,연막탄,
연병장,연병장,
연병장의 주인,연병장의 주인,
열 번 전역했다. 왜인지는 묻지 않는다.,열 번 전역했다. 왜인지는 묻지 않는다.,
예초기,예초기,
완료,완료,
완전군장 행군,완전군장 행군,
완전무장,완전무장,
운전병,운전병,
원,원,
월급  %s,월급  %s,
위생병,위생병,
유격 3주차,유격 3주차,
유격장,유격장,
유격조교,유격조교,
의무병,의무병,
의무후송 헬기,의무후송 헬기,
이동속도 +10%,이동속도 +10%,
일에 익숙해졌다. 공격이 빠르다.,일에 익숙해졌다. 공격이 빠르다.,
자석 깔창,자석 깔창,
자재,자재,
작업 속도를 잰다. 공격 간격이 짧아진다.,작업 속도를 잰다. 공격 간격이 짧아진다.,
잔반을 다룬다. 회복이 붙어 있다.,잔반을 다룬다. 회복이 붙어 있다.,
잔반차,잔반차,
잡초,잡초,
장애물이 많다. 적도 많다.,장애물이 많다. 적도 많다.,
장판이 넓어지고 오래 간다. 완전군장은 원래 안 끝난다.,장판이 넓어지고 오래 간다. 완전군장은 원래 안 끝난다.,
재사용 대기시간 -7%,재사용 대기시간 -7%,
재입대,재입대,
저사양 프리셋,저사양 프리셋,
적 %d / %d   시뮬 %.2fms   버퍼 %.2fms,적 %d / %d   시뮬 %.2fms   버퍼 %.2fms,
적금 만기,적금 만기,
적을 통째로 빨아들인다. 잔반은 남기지 않는다.,적을 통째로 빨아들인다. 잔반은 남기지 않는다.,
전 역 연 기,전 역 연 기,
전 역 증,전 역 증,
전 적 5초 정지. 그동안은 아무도 움직이면 안 된다.,전 적 5초 정지. 그동안은 아무도 움직이면 안 된다.,
전방위 광역. 삽이 커지면 이렇게 된다.,전방위 광역. 삽이 커지면 이렇게 된다.,
전역 연기 통보서,전역 연기 통보서,
전역까지 D-100,전역까지 D-100,
전역증,전역증,
전투화,전투화,
제설 유공,제설 유공,
조건 %d%%,조건 %d%%,
조건 — %s,조건 — %s,
조건 — %s (%d%%),조건 — %s (%d%%),
주기적으로 회복 오브 생성,주기적으로 회복 오브 생성,
주기적으로 회복 오브를 떨군다. 부르면 온다.,주기적으로 회복 오브를 떨군다. 부르면 온다.,
주변 상시 회전 판정,주변 상시 회전 판정,
주변을 상시로 갈아버린다. 제초 작업은 끝이 없다.,주변을 상시로 갈아버린다. 제초 작업은 끝이 없다.,
지나온 자리마다 발자국이 남는다. 밟은 놈이 알아서 아프다.,지나온 자리마다 발자국이 남는다. 밟은 놈이 알아서 아프다.,
지나온 자리에 발자국 장판,지나온 자리에 발자국 장판,
직업군인. K-2식 소총으로 시작한다.,직업군인. K-2식 소총으로 시작한다.,
직업군인. 전역해 본 사람만 고를 수 있다.,직업군인. 전역해 본 사람만 고를 수 있다.,
진화! %s,진화! %s,
짬통,짬통,
짬통으로 시작한다. 짬은 원래 취사병 관할이다.,짬통으로 시작한다. 짬은 원래 취사병 관할이다.,
찰떡파이,찰떡파이,
찰떡파이 비축,찰떡파이 비축,
창고박스,창고박스,
처치 %d,처치 %d,
처치 0,처치 0,
첫 판을 끝까지 마쳤다. 여기서부터가 시작이다.,첫 판을 끝까지 마쳤다. 여기서부터가 시작이다.,
청소 유공,청소 유공,
초시계,초시계,
"최대 체력 +15, 초당 0.35 회복","최대 체력 +15, 초당 0.35 회복",
최상병,최상병,
출     두,출     두,
출  두,출  두,
출  두  신  고,출  두  신  고,
취사병,취사병,
커피믹스,커피믹스,
탄띠,탄띠,
통신병,통신병,
퇴     소,퇴     소,
투사체 +1발,투사체 +1발,
트랙터,트랙터,
페인트통,페인트통,
포물선 투척 폭발,포물선 투척 폭발,
표     창     장,표     창     장,
표  창  장,표  창  장,
표창장 발급 — %s,표창장 발급 — %s,
픽업 %d,픽업 %d,
하루를 기록하면 배우는 게 있다. 짬이 더 쌓인다.,하루를 기록하면 배우는 게 있다. 짬이 더 쌓인다.,
하사,하사,
한 겹 더 껴입는다. 받는 피해가 줄어든다.,한 겹 더 껴입는다. 받는 피해가 줄어든다.,
한 잔이면 버틴다. 초당 체력이 조금씩 찬다.,한 잔이면 버틴다. 초당 체력이 조금씩 찬다.,
한 판에서 10분을 버텼다. D-50.,한 판에서 10분을 버텼다. D-50.,
한 판에서 51진급. 화면이 노랗게 물든다.,한 판에서 51진급. 화면이 노랗게 물든다.,
해금 — %s,해금 — %s,
행군화,행군화,
행보관,행보관,
행운 +1 (크리티컬 확률 상승),행운 +1 (크리티컬 확률 상승),
행운의 부적,행운의 부적,
현재 %s,현재 %s,
혹한기 설원,혹한기 설원,
화면 전체 스턴 + 넉백,화면 전체 스턴 + 넉백,
화면 전체를 흔들어 세운다. 아침은 원래 그렇다.,화면 전체를 흔들어 세운다. 아침은 원래 그렇다.,
화면 흔들림 강도,화면 흔들림 강도,
화생방 마스크,화생방 마스크,
훈  련  장,훈  련  장,
휴가증,휴가증,
히트스톱,히트스톱,
